Komoditas (Rp);Semua Provinsi;Jawa Timur
Dec  2022 (I);50598;37550
Dec  2022 (II);51564;31500
Dec  2022 (III);51486;31300
Dec  2022 (IV);56567;42850
Jan  2023 (V);64748;57200
Jan  2023 (I);60212;49450
Jan  2023 (II);53972;41850
Jan  2023 (III);52336;46000
Jan  2023 (IV);50138;45850
Feb  2023 (I);52962;54150
Feb  2023 (II);54819;58300
Feb  2023 (III);58716;59000
Feb  2023 (IV);60141;57000
